balance,account_age_days,avg_loan_amount,income,credit_score,credit_amount,application_date,last_contact,income_to_credit_ratio,city,birth_date,years_at_job,client_id,application_id,address,previous_loans,late_payments_3y,employment_type,owns_car,owns_house,default
5364.44,2306,15820,42919.0,826,76127,2025-05-26,2025-06-02,0.5637815755251093,Yangton,1946-06-22,35,C-251494,APP-2023-661122,"6611 Scott Corner
East Connie, MA 58948",3,1,Self-employed,1,0,0
7436.04,834,40851,22104.0,433,198653,2024-08-23,2024-11-15,0.1112693994049926,Johnnyview,1990-09-16,12,C-6224,APP-2023-678827,"11333 Melissa Road Apt. 958
West Amandafort, PR 89311",5,0,Permanent,1,1,1
3532.07,2513,5890,9727.0,813,139102,2025-05-04,2025-07-18,0.0699271038518497,Navarromouth,1983-12-31,9,C-691940,APP-2023-613477,"97248 Smith Vista Apt. 680
Michaelberg, KS 35421",6,3,Self-employed,1,1,0
6412.69,1402,40790,26157.0,375,54139,2024-10-08,2024-12-10,0.4831452372596465,Port Carolborough,1993-05-03,31,C-74750,APP-2023-88251,"381 Miller Mill
Lake Jamesville, ND 57805",3,2,Self-employed,1,1,0
2260.37,1041,18429,19516.0,368,76039,2025-05-28,2025-07-26,0.2566577677244572,Vaughnshire,1965-01-25,3,C-7939,APP-2023-118309,"05768 Holder Forks Apt. 246
New Dwayne, AK 15932",2,1,Permanent,1,1,0
5839.95,2446,47145,28051.0,516,117900,2025-03-26,2025-04-05,0.237921967769296,Daymouth,1958-09-19,8,C-109344,APP-2023-803240,"620 Erica Views
East Mallory, NJ 49087",1,0,Permanent,0,0,1
2890.84,144,34542,33141.0,691,51812,2024-09-25,2024-11-03,0.6396394657608276,New Amanda,1982-07-30,30,C-836771,APP-2023-430678,"50982 Williamson Crossroad
Port Ashleyburgh, AZ 38650",1,1,Permanent,1,0,1
6096.13,593,8202,33777.0,457,194497,2024-11-11,2025-02-06,0.1736633469924986,Ethanport,1948-01-22,5,C-859641,APP-2023-707845,"28959 Castillo Tunnel
Benitezside, NY 53478",1,2,Permanent,0,1,0
10537.26,1933,17396,5992.0,316,156685,2024-10-23,2024-11-30,0.0382423333439703,South Kennethside,1965-06-03,28,C-345429,APP-2023-675285,"85110 Peterson Field
Michaelburgh, HI 21915",3,2,Temporary,1,0,0
7305.76,1184,26218,24321.0,699,166925,2024-09-14,2024-11-18,0.1457001647446458,New Thomas,2005-05-04,23,C-738167,APP-2023-139018,"37920 Roach Glen Apt. 558
Brittanyfurt, AK 71155",3,0,Permanent,1,1,0
8575.89,1349,15058,15106.0,514,194862,2024-09-21,2024-10-20,0.0775215280557522,North Mary,1952-10-22,26,C-412118,APP-2023-757386,"118 Amanda Center Suite 788
South Melissaland, NM 51567",0,2,Permanent,1,1,0
2185.63,2136,35418,6994.0,458,120858,2025-05-30,2025-07-03,0.0578695659368846,Sheilachester,1976-07-30,7,C-924741,APP-2023-798015,"684 White Causeway
Johnsonside, PW 40145",4,1,Self-employed,0,0,1
3840.8,1765,33431,27497.0,300,178846,2025-04-07,2025-06-12,0.1537467989219775,South Samantha,1981-01-29,25,C-336372,APP-2023-736834,"50632 Casey Expressway
New Ambermouth, VI 24287",6,0,Permanent,0,0,0
9148.43,417,47950,1875.0,601,23069,2024-11-11,2025-02-04,0.0812779054141922,Littleburgh,1944-09-22,24,C-441138,APP-2023-536826,"Unit 7559 Box 2327
DPO AA 69922",2,0,Permanent,0,0,0
3579.98,1812,42186,37884.0,308,101489,2025-05-26,2025-07-24,0.3732818334991969,Stephenborough,1967-01-02,35,C-354130,APP-2023-259453,"77409 Benjamin Summit
North Rickville, PR 02877",2,1,Permanent,0,1,0
2202.23,994,34575,44572.0,481,86491,2024-10-05,2024-12-31,0.515336855857835,New Robert,1960-10-09,4,C-572390,APP-2023-62413,"10159 Taylor Garden
East Randall, KS 13460",0,1,Temporary,1,1,0
10876.45,2506,4827,16777.0,417,183541,2024-07-24,2024-09-22,0.0914073694705815,New Crystalland,1986-09-23,24,C-512287,APP-2023-882840,"8857 Espinoza Stream
Andrewhaven, PA 61091",3,1,Permanent,1,0,0
5782.77,3588,19046,36020.0,812,152047,2024-10-20,2025-01-15,0.2369004321032312,Hallton,1978-03-23,8,C-747678,APP-2023-601633,"249 Clark Forks
East Paulfort, AL 44584",1,5,Self-employed,0,0,0
7471.17,1122,20493,26107.0,373,197411,2025-05-19,2025-06-08,0.132246936594212,Smithbury,1955-02-04,1,C-291621,APP-2023-646677,"594 Smith Way
Jamesborough, NV 78693",0,0,Permanent,0,0,0
1059.51,3482,48115,30881.0,710,120360,2025-01-02,2025-01-20,0.256571950814224,New Emmachester,1995-02-03,37,C-901358,APP-2023-245886,"7002 Brandon Prairie Suite 287
East Megan, OK 91823",1,4,Permanent,0,0,0
3411.02,3465,13340,18933.0,749,97415,2024-09-05,2024-09-10,0.1943540522506801,Port Danny,1955-01-21,26,C-217864,APP-2023-295836,"27266 Peggy Brooks
South Arthur, FM 42207",4,0,Temporary,0,1,1
5380.98,2395,42578,29.0,467,69592,2024-11-06,2025-01-29,0.0004167145648925,North Melindafort,1995-04-14,2,C-985867,APP-2023-292982,"81242 Maria Rue
Sandrahaven, OR 85935",3,0,Permanent,1,0,0
11046.88,265,19691,44112.0,440,143201,2024-10-02,2024-12-21,0.3080425416023631,New Scott,1992-03-13,7,C-665050,APP-2023-338342,"984 Walker Estate Suite 562
Colinland, NC 01942",0,0,Permanent,1,0,0
8626.27,1836,37925,31836.0,767,149632,2024-12-07,2025-01-23,0.2127619760479042,Freemanton,1954-05-01,33,C-140011,APP-2023-656999,"48319 William Mission Apt. 406
Melissafort, NE 73685",0,2,Unemployed,0,0,0
8018.76,1385,6787,35250.0,766,91529,2024-08-22,2024-10-03,0.3851238405314163,South Jamie,1948-03-13,4,C-515708,APP-2023-679950,"3109 Donald Junctions
Jeffreyton, OK 39109",1,2,Permanent,1,0,0
5445.25,2227,39027,20659.0,822,43008,2024-07-15,2024-07-21,0.4803524925595238,Lake Christopher,2005-10-17,35,C-995308,APP-2023-332145,"368 Gonzales Port
West Philip, LA 35855",3,1,Permanent,1,0,0
5810.39,673,46999,19005.0,478,174717,2025-06-15,2025-07-18,0.1087759061797077,Wilsonville,1979-03-20,28,C-484934,APP-2023-929175,"57375 Kristin Lights
West Thomas, KY 36934",2,2,Temporary,1,0,0
8192.23,2363,3957,39933.0,445,66664,2025-03-15,2025-05-02,0.5990189607584303,East Scottshire,1955-10-15,5,C-188475,APP-2023-807569,"710 Laurie Keys
Port Clinton, MP 74564",2,0,Permanent,0,0,0
2791.35,3163,48973,4852.0,450,67871,2024-10-03,2024-12-24,0.0714885591784414,North Stanleyside,1995-11-17,32,C-26264,APP-2023-906964,"89307 Anne Mall Apt. 515
Lopezhaven, NV 67510",7,0,Permanent,1,0,0
2427.14,3338,46752,16635.0,695,84564,2025-03-08,2025-04-12,0.1967149141478643,New Aarontown,1987-03-01,0,C-315075,APP-2023-706637,"62186 Wallace Mall
Brianton, CO 15361",1,2,Self-employed,0,0,0
8358.93,439,44306,33439.0,417,77380,2024-10-23,2024-12-07,0.4321400878780047,Anthonyton,1949-07-12,11,C-976166,APP-2023-392412,"2664 Jennifer Viaduct Suite 178
Comptonside, MN 76388",2,5,Permanent,1,0,0
2537.24,3052,35858,31989.0,351,196528,2024-09-04,2024-12-01,0.162770699340552,Lake Daniel,1956-08-12,18,C-748973,APP-2023-40439,"85689 Steven Pike
Karenberg, MS 51985",2,2,Permanent,1,0,0
6466.22,2061,34353,34311.0,397,7801,2024-07-10,2024-10-05,4.398282271503653,Lake Connietown,2000-04-15,8,C-41930,APP-2023-376972,"0788 Stokes Squares Suite 430
Davidport, AZ 51106",0,0,Permanent,1,1,0
8536.82,2269,5849,46462.0,313,69365,2025-03-08,2025-03-31,0.6698190730195344,Rayton,1970-05-11,14,C-29911,APP-2023-671518,"75445 Moore Locks
Tammyside, CA 36013",3,1,Permanent,1,1,0
2579.01,2413,31620,30796.0,551,28936,2025-04-08,2025-05-30,1.064279789881117,Lake Nancy,1953-08-08,5,C-203404,APP-2023-173741,"9811 Deborah Plains Suite 441
Port Nicoleshire, VI 13697",3,2,Permanent,0,1,0
4642.73,576,13414,47679.0,845,14141,2024-08-22,2024-10-07,3.371685170780001,Sherryport,1948-10-10,11,C-557620,APP-2023-127325,"82255 Cynthia Causeway Apt. 480
Aimeehaven, VT 78044",1,1,Permanent,0,1,0
7375.67,1487,1892,19145.0,569,99567,2025-05-25,2025-08-01,0.1922825835869314,West John,1968-11-29,2,C-11733,APP-2023-181872,"9588 Chelsea Shore
Port Jenniferberg, NV 47520",2,0,Self-employed,1,0,0
2372.27,916,26460,32709.0,632,23777,2025-02-20,2025-04-22,1.3756571476637087,Lake Matthewview,1989-03-25,10,C-3924,APP-2023-225028,"669 Harper Brooks
Lake Heather, PR 37096",6,3,Permanent,1,1,0
2073.95,2148,35047,38182.0,722,112530,2025-04-08,2025-05-17,0.3393050742024349,Fitzgeraldbury,1952-03-05,27,C-613778,APP-2023-547101,"726 Taylor Crossing
Vangberg, OH 06299",3,1,Temporary,0,1,0
3673.06,3393,30961,28133.0,513,109101,2025-02-17,2025-04-17,0.2578619811000815,North Benjamin,1995-02-20,30,C-956338,APP-2023-490546,"090 Wilkinson Fords
Jonesfurt, SD 47914",0,2,Permanent,0,0,0
4733.9,914,40067,17658.0,614,83404,2025-07-01,2025-07-13,0.2117164644381564,Taylormouth,1987-12-01,9,C-154924,APP-2023-855956,"696 Simmons Square Suite 543
Lake Stephaniechester, AR 61603",2,2,Self-employed,0,1,0
2073.56,1322,47889,761.0,639,60950,2024-08-13,2024-10-23,0.0124856439704675,New Tracey,1979-10-10,6,C-751905,APP-2023-105336,"6394 Robert Tunnel
Michaelmouth, VT 61898",3,2,Permanent,1,0,0
3221.26,1743,44476,61873.0,346,47058,2024-10-25,2024-12-01,1.3148242594245398,Aguirreberg,1947-12-11,32,C-897346,APP-2023-668459,"4100 Johnson Harbor Apt. 112
South Jodi, NE 42294",2,3,Permanent,0,1,0
7570.01,2741,29884,15955.0,736,161681,2024-11-30,2025-01-25,0.0986819725261471,West Tomport,2006-10-16,39,C-808708,APP-2023-515054,"0615 Linda Glens Apt. 100
Nataliestad, SD 18877",2,3,Unemployed,1,0,1
964.49,3217,1193,39207.0,651,176382,2024-10-25,2024-12-06,0.222284586862605,Marymouth,1983-01-02,21,C-745060,APP-2023-480342,"3387 Laura Circle Suite 481
Sandraton, VI 84262",2,0,Temporary,1,1,0
4896.04,2352,41231,52464.0,627,166203,2025-01-31,2025-04-22,0.3156621721629573,Murrayton,1979-09-22,33,C-34656,APP-2023-627030,"64842 Amy Dam
Masonstad, KY 11670",2,0,Permanent,0,1,0
6536.11,930,20522,21774.0,326,188590,2025-05-18,2025-05-24,0.1154568110716368,Amyfort,1952-06-08,29,C-198601,APP-2023-699871,"8374 Garcia Branch
East Sherriton, IL 16156",0,0,Permanent,0,1,0
6962.87,1978,31485,28804.0,402,65448,2024-12-23,2025-02-21,0.4401051216232734,Lake Lucas,1976-12-12,29,C-583826,APP-2023-469095,"306 Murphy Islands
Schwartzberg, SC 58606",4,0,Permanent,1,0,0
598.14,626,49001,53081.0,302,120216,2025-03-03,2025-04-08,0.4415468822785652,North Heathershire,1947-08-21,34,C-393468,APP-2023-951824,"674 Hubbard Crest Suite 738
North Natalie, NV 47438",3,3,Permanent,0,1,0
2584.88,720,31375,14079.0,734,191002,2025-04-13,2025-06-08,0.0737112700390571,New Pamela,1984-05-18,16,C-670832,APP-2023-94524,"PSC 8063, Box 1387
APO AP 96794",4,2,Self-employed,1,1,0
3860.35,1506,39379,43518.0,624,19058,2024-08-09,2024-10-05,2.2834505194668906,New Judy,1998-07-11,37,C-863731,APP-2023-728182,"474 Freeman Valley
West Dylan, LA 56077",3,0,Self-employed,1,1,0
3700.41,690,47205,42781.0,548,109485,2025-03-05,2025-04-02,0.3907475909942001,Moorebury,1956-09-29,22,C-225711,APP-2023-999797,"80981 Melissa Forks
Mariahburgh, GU 99717",2,1,Temporary,1,1,0
8612.75,1539,44528,33560.0,362,143134,2024-08-21,2024-09-09,0.2344656056562382,Karenfurt,1955-06-20,35,C-621883,APP-2023-564318,"47011 Haas View
West Teresamouth, KY 18573",1,1,Self-employed,0,1,0
4967.3,2840,41224,42584.0,685,80654,2025-04-08,2025-05-27,0.527983732982865,East Antoniotown,1992-03-01,29,C-642525,APP-2023-266552,"990 Wilson Burg
Williamview, MP 12091",1,0,Permanent,0,1,1
9412.94,3330,10222,29746.0,713,171253,2025-01-21,2025-03-07,0.1736962272193772,East Brittanyfurt,1963-03-01,6,C-395560,APP-2023-208069,"20811 Kimberly Squares
Longberg, PA 21897",1,2,Permanent,1,0,0
7852.63,2981,16948,20114.0,407,17654,2024-10-26,2024-11-19,1.1393451908915826,Port Meganville,2006-06-04,23,C-74352,APP-2023-788961,"41989 Lopez Groves
Wadestad, KY 19280",4,2,Temporary,1,1,0
2729.16,2262,7690,31153.0,511,152067,2024-11-16,2024-12-24,0.2048636456298868,North Crystalland,2005-01-31,31,C-714304,APP-2023-74909,"USNV Olson
FPO AP 22298",1,1,Permanent,0,0,0
4119.17,1824,27346,14155.0,481,5086,2025-03-21,2025-05-04,2.783130161226897,West Chad,1980-03-12,26,C-587738,APP-2023-625906,"2670 Manning Landing Suite 424
Dennisbury, NJ 43657",2,2,Self-employed,1,1,0
5575.18,2075,34478,46794.0,524,129256,2025-05-25,2025-05-26,0.362025747354088,Lake Taraland,1981-09-01,12,C-884447,APP-2023-740813,"91404 Zachary Manor Apt. 003
Woodwardside, IA 28136",3,2,Permanent,0,0,0
6440.23,1816,19448,25077.0,467,111704,2024-12-13,2024-12-23,0.224495094177469,New Fernandomouth,1967-09-10,39,C-956516,APP-2023-627939,"7528 Bryant Trail
North Holly, SC 79959",3,2,Permanent,0,0,0
338.83,2479,16054,27349.0,328,196994,2024-11-26,2024-11-28,0.138831639542321,Dianaport,1980-05-09,20,C-80140,APP-2023-190135,"0974 Jody Valley
North Jeffshire, CT 28285",1,2,Self-employed,1,0,0
8705.34,227,8236,23155.0,417,33673,2024-12-16,2025-03-02,0.6876429186588662,Lozanohaven,1969-12-18,20,C-479215,APP-2023-678532,"842 Stephenson Pine
Port Andreaburgh, HI 22879",1,1,Permanent,1,0,0
5016.38,1090,29457,33746.0,591,113343,2024-09-01,2024-11-14,0.2977334286193236,Matthewmouth,1946-06-10,38,C-347019,APP-2023-120556,"729 Tammy Way
Howellfurt, NY 67051",1,1,Permanent,1,0,1
4254.09,2217,44733,15635.0,815,174436,2024-07-20,2024-10-06,0.089631727395721,Port Bradport,1992-06-23,20,C-438936,APP-2023-399450,"36909 Richard Road
South Kimberly, WA 06379",1,4,Unemployed,1,0,1
5430.83,2176,17787,39552.0,649,192103,2025-06-06,2025-08-20,0.2058895488357808,New Timothy,1944-10-12,7,C-923240,APP-2023-426311,"7630 Wendy Crossing Apt. 077
Susanhaven, IL 58907",3,1,Permanent,1,0,0
3249.04,875,4397,40535.0,728,44449,2025-02-16,2025-03-26,0.911944025737362,East Brianna,1971-08-20,33,C-130654,APP-2023-294218,"3372 Sheila Junction Apt. 237
Walkerhaven, MT 74441",5,1,Permanent,1,1,0
2100.12,257,13537,30621.0,841,188131,2025-05-14,2025-06-17,0.1627642440639767,New Davidburgh,1950-04-23,2,C-795045,APP-2023-933217,"8764 Jennifer Tunnel
Benjaminmouth, MS 20652",1,2,Self-employed,1,0,0
9484.86,3291,37677,13216.0,515,175829,2024-10-12,2024-12-30,0.0751639376894596,West Sherry,1944-08-03,24,C-874250,APP-2023-906306,"Unit 1111 Box 9855
DPO AA 03303",3,3,Permanent,0,1,1
8316.46,507,32484,30746.0,553,196304,2024-08-24,2024-10-02,0.156624419268074,Kathrynburgh,1997-07-15,37,C-193323,APP-2023-242916,"USS Alexander
FPO AE 30254",2,1,Permanent,1,0,1
6037.09,1414,19063,37804.0,575,97563,2025-02-18,2025-03-27,0.3874829597285856,Lake John,1944-08-27,36,C-496945,APP-2023-572725,"046 Oconnell Loaf Apt. 723
East John, KY 65503",3,3,Permanent,1,1,0
1484.99,1438,4399,2066.0,702,99066,2024-10-22,2024-12-16,0.0208547836795671,East Danielle,1955-04-13,31,C-887033,APP-2023-783855,"Unit 1489 Box 5926
DPO AE 60587",1,3,Self-employed,0,0,1
1754.63,1434,29045,30371.0,673,42495,2024-08-13,2024-11-04,0.7146958465701847,West Daryl,1983-07-29,0,C-254173,APP-2023-142905,"1029 West Prairie Suite 923
New Carol, NJ 13298",1,1,Permanent,0,0,0
3121.73,1551,24014,35120.0,531,185061,2024-07-27,2024-09-24,0.1897752632915633,West Spencer,2001-05-13,35,C-572201,APP-2023-857826,"74878 George Street Apt. 532
South Kristen, CA 20481",4,2,Temporary,0,0,0
6808.41,2772,34211,41801.0,500,171678,2024-12-28,2025-01-31,0.2434848961427789,Lake Williammouth,1967-07-29,23,C-833390,APP-2023-827225,"93789 Brian Well
Lake Gwendolynbury, IA 35784",1,2,Permanent,1,0,0
4270.04,1992,10047,32532.0,598,182520,2024-07-30,2024-08-01,0.1782380013149244,North Ianborough,1979-04-27,37,C-962477,APP-2023-784303,"48788 Joshua Lodge Apt. 932
Alvarezshire, IL 93708",1,1,Permanent,0,1,0
4279.82,279,43072,42803.0,342,131873,2024-12-04,2025-01-11,0.3245774343497152,South Jamesmouth,1972-06-15,2,C-404694,APP-2023-767453,"31114 Gregory Spur Apt. 039
Mistyberg, DC 73794",2,1,Temporary,1,1,0
4402.08,3169,2415,23155.0,528,139010,2025-06-24,2025-08-19,0.1665707503057334,East Edwardfort,1956-06-11,12,C-550908,APP-2023-285865,"USS Wagner
FPO AE 38223",5,3,Temporary,1,0,0
5323.91,932,35151,5722.0,631,118532,2024-07-17,2024-09-06,0.0482738838457125,Charlesland,1986-03-27,11,C-110236,APP-2023-708724,"43931 Jeffrey Grove
Andersonville, CT 15190",2,3,Temporary,0,1,0
503.81,481,1101,41307.0,391,20906,2024-09-01,2024-09-19,1.9758442552377309,South Baileyfort,1975-04-04,9,C-784165,APP-2023-850111,"3490 Katherine Spur
Reedstad, MN 60644",3,3,Permanent,0,0,0
6923.74,277,31652,27500.0,428,72936,2025-01-16,2025-02-02,0.3770428869145552,South Christopher,2005-10-15,23,C-677082,APP-2023-518506,"87701 Parrish Knolls
East Jennaland, PR 84805",1,1,Self-employed,0,0,0
2417.07,1990,42058,49347.0,756,135162,2024-07-31,2024-08-25,0.3650952190704488,Port Rebeccastad,1950-08-20,11,C-752015,APP-2023-163781,"Unit 5804 Box 9583
DPO AE 27138",2,0,Permanent,0,0,0
4868.49,1458,8015,28456.0,652,7729,2024-07-23,2024-09-29,3.681718204166128,Wheelerville,1945-08-21,2,C-227740,APP-2023-159338,"251 Peggy Courts
East Joseph, WA 67892",2,1,Permanent,0,0,0
451.67,57,21987,50604.0,595,109433,2024-12-08,2025-02-05,0.4624199281752305,Port Jasonchester,1957-09-09,13,C-262908,APP-2023-867508,"95685 Brown Plaza
Craighaven, DC 72294",1,1,Permanent,1,1,0
6977.38,3245,4295,13964.0,784,7383,2024-09-30,2024-11-26,1.8913720709738588,Jodiborough,1995-05-17,1,C-415874,APP-2023-732859,"2104 Joseph Avenue Suite 020
Rebeccaborough, MD 48987",1,1,Permanent,0,1,0
6728.86,34,38987,11170.0,634,20987,2024-12-01,2024-12-21,0.5322342402439606,North Joshua,2002-04-10,1,C-971001,APP-2023-56414,"560 Shawn Burgs
South Jeff, PW 21769",3,2,Permanent,0,1,0
6926.48,1562,35680,37379.0,758,44788,2025-04-09,2025-05-04,0.8345762257747611,Rebekahfurt,1965-10-09,3,C-159996,APP-2023-275934,"6738 Deborah Field Apt. 158
Davidbury, CO 75007",0,1,Temporary,1,1,0
5170.76,2607,19928,35413.0,809,171035,2024-12-13,2025-01-04,0.207051188353261,Williamsborough,1988-09-22,23,C-252289,APP-2023-261051,"04159 Betty Villages
East Michelleland, WY 70712",2,1,Permanent,0,1,0
7824.24,2836,35990,19403.0,622,104231,2025-02-09,2025-03-19,0.1861538313937312,South Christina,1954-10-03,31,C-503186,APP-2023-419828,"43601 Teresa Hill Suite 422
Lake Kelly, NH 25171",0,0,Permanent,1,0,0
6616.97,2227,15107,35159.0,447,9294,2025-03-22,2025-05-02,3.782978265547665,Lake Travismouth,1954-03-18,17,C-894929,APP-2023-812319,"71858 Jeremiah Flats
New Anthonyfort, AS 44315",2,2,Permanent,1,0,0
11068.98,1793,20518,30438.0,810,187589,2025-01-26,2025-04-15,0.1622589810703186,West Maryborough,1989-09-04,10,C-214812,APP-2023-508401,"87703 Hall Stream Suite 917
West Danielville, AK 31612",4,2,Permanent,0,0,0
7977.91,1974,18565,17218.0,480,138568,2025-04-01,2025-05-03,0.1242566826395704,New Kristen,1994-05-07,34,C-180309,APP-2023-797155,"435 Meyers Trafficway
Lake Michaelfort, MD 91765",2,1,Permanent,1,0,0
10551.39,3329,28005,18719.0,397,118935,2024-07-29,2024-09-19,0.1573884895110774,Juanstad,1945-01-09,26,C-73890,APP-2023-352397,"6361 Alison Pike
Gallaghermouth, MD 93195",1,1,Permanent,0,0,0
2461.74,1064,48454,18425.0,417,98415,2025-04-28,2025-05-19,0.1872173957221968,Port Tarabury,1998-07-06,25,C-632522,APP-2023-369643,"185 English Prairie Apt. 262
West Danashire, IN 73006",0,3,Permanent,0,0,0
6272.35,3283,13383,24325.0,514,199440,2024-12-22,2025-02-23,0.1219665062174087,Ronaldhaven,1980-03-05,13,C-244548,APP-2023-219777,"6343 Brianna Rue Apt. 113
East Mary, TX 93725",4,1,Temporary,1,0,0
8548.86,141,22141,25487.0,372,156598,2025-05-16,2025-06-21,0.1627543135927661,New Melissaberg,1964-11-02,19,C-733717,APP-2023-923885,"82297 Debra Lake
North Linda, GA 21933",2,2,Permanent,0,0,0
176.75,1818,27426,34634.0,577,108711,2024-07-10,2024-07-17,0.3185878154004654,Lynchmouth,1967-06-03,39,C-413204,APP-2023-590898,"5609 Johnson Skyway Suite 510
Jonesmouth, RI 46026",0,2,Permanent,1,1,0
736.26,882,40518,201.0,812,86351,2024-08-07,2024-09-29,0.0023277090016328,Kennethbury,1996-09-25,36,C-18421,APP-2023-259556,"2341 Townsend Course
West Darrellfort, MO 18406",2,3,Self-employed,1,0,0
6016.89,234,32241,16223.0,586,181948,2024-10-23,2025-01-04,0.089162837733858,South Karenshire,1993-05-31,6,C-690847,APP-2023-601920,"04028 Beth Grove Suite 594
East Howardberg, WV 14595",4,2,Unemployed,1,1,0
